Tên sản phẩm,Slug,Tiêu đề phụ,Mã sản phẩm,Giá sản phẩm,Bề mặt,Độ dày,Kích thước,Hoàn thiện,Màu sắc,Ứng dụng,Bộ sưu tập,Tải catalogue,Mô tả,Ảnh 1,Ảnh 2,Ảnh 3,Ảnh 4,Ảnh 5,Ảnh 6,Ảnh 7,URL
Lagoon,lagoon,,SP80 - SM80,"4,500,000 / m²",Đá,15mm,1200x2700,"Bóng kính, Matt",Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Công nghệ vân xuyên xương giúp Lagoon tái hiện vẻ đẹp chân thực của tự nhiên.,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM80H127__Lagoon__120x270cm__15mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM80H127__Lagoon__120x270cm__15mm__Face3.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM80H127__Lagoon__120x270cm__15mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM80H127__Lagoon__120x270cm__15mm__Face2.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM80H127__Lagoon__120x270cm__15mm__Face2.png,,,https://slabstone.vn/san-pham/lagoon/
Avory,avory,,SM69,"2,100,000 / m²",Đá,9mm,1200x2700,Matt,Ivory,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Avory như dải lụa trắng mềm mại được điểm xuyến đường vân tinh tế, mang cảm giác thanh bình và yên tĩnh cho không gian.",https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM69D127__Avory__120x270cm__9mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM69D127__Avory__120x270cm__9mm__Face2.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM69D127__Avory__120x270cm__9mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM69D127__Avory__120x270cm__9mm__Face2.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM69D127__Avory__120x270cm__9mm__Face2.png,,,https://slabstone.vn/san-pham/avory/
Andes,andes,,SM70,"2,100,000 / m²",Đá,9mm,1200x2700,Matt,Xám,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Andes, màn đêm tĩnh mịch không kém phần mơ mộng.
Sắc xám thanh lịch thổi hồn sự tinh tế cho không gian thiết kế.",https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face3.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face1.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face2.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face3.png,https://slabstone.vn/wp-content/uploads/2025/01/SLABSTONE__SM70D127__Andes__120x270cm__9mm__Face3.png,,https://slabstone.vn/san-pham/andes/
Lava,lava,,SM21,"1,800,000 / m²",Xi măng,9mm,1200x2400,Bóng kính,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Lava độc đáo và mạnh mẽ với đường vân cam như những tia sét trên nền trời đêm.,https://slabstone.vn/wp-content/uploads/2024/04/SM21D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/04/Floor-SM21D122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/04/SM21D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/04/SM21D122-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/04/SM21D122-F3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/04/SM21D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,https://slabstone.vn/san-pham/lava/
Calacatta Cream,calacatta-cream,,SM17,"1,800,000 – 2,100,000 / m²",Đá hoa,"9mm, 12mm","1200x2700, 1200x2400",Matt,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Calacatta Cream, mẫu thiết kế đem lại sự sang trọng hoàn hảo cho không gian sống.
Tone màu kem thời thượng cùng kích thước lớn giúp mở rộng không gian của sáng tạo, sự tiện nghi và đẳng cấp.",https://slabstone.vn/wp-content/uploads/2024/03/SM17F122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/Ban-02_SM17F122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/Ban-01_SM17F122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/SM17F122-3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/SM17F122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/SM17F122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/03/SM17F122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/san-pham/calacatta-cream/
Crema Marfil,crema-marfil,,SM60,"1,970,000 – 2,370,000 / m²",Đá hoa,"9mm, 12mm",1200x2400,Matt,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Crema Marfil, mẫu thiết kế đem lại sự sang trọng hoàn hảo cho không gian sống.
Tone màu kem thời thượng cùng kích thước lớn giúp mở rộng không gian của sáng tạo, sự tiện nghi và đẳng cấp.",https://slabstone.vn/wp-content/uploads/2024/02/SM60D122-F1-A-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM60.png,https://slabstone.vn/wp-content/uploads/2024/02/floor-2_SM60F122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM60D122-F1-A-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM60D122-F2-A-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM60D122-F3-A-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM60D122-F1-A-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/san-pham/crema-marfil/
Ash Carbon,ash-carbon,,SM40,"1,800,000 / m²",Gỗ,9mm,1200x2400,Matt,Xám,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Với khổ lớn vượt trội, đá vân gỗ SLABSTONE đem nét đẹp thiên nhiên chân thực nhất vào không gian sống của bạn.
Không giới hạn khả năng thiết kế, mẫu đá vân gỗ SLABSTONE cho bạn thoả sức sáng tạo với những ý tưởng cắt ghép, tạo hình khác nhau. Những đường vân gỗ trải dài, không bị gián đoạn sẽ mở rộng không gian, tôn lên nét tinh tế và sang trọng rất riêng cho ngôi nhà.",https://slabstone.vn/wp-content/uploads/2023/10/SM40D122-Random-Face-copy-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/01/SM40D122_op_tuong__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/10/SM40D122-Random-Face-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/ash-carbon/
Ash Drift,ash-drift,,SM49,"1,800,000 / m²",Gỗ,9mm,1200x2400,Bóng kính,Nâu,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Với khổ lớn vượt trội, đá vân gỗ SLABSTONE đem nét đẹp thiên nhiên chân thực nhất vào không gian sống của bạn.
Không giới hạn khả năng thiết kế, mẫu đá vân gỗ SLABSTONE cho bạn thoả sức sáng tạo với những ý tưởng cắt ghép, tạo hình khác nhau. Những đường vân gỗ trải dài, không bị gián đoạn sẽ mở rộng không gian, tôn lên nét tinh tế và sang trọng rất riêng cho ngôi nhà.",https://slabstone.vn/wp-content/uploads/2023/10/SM49D122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM49.png,https://slabstone.vn/wp-content/uploads/2023/10/SP30-49D122-Bep-__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/10/SM49D122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/ash-drift/
Pietra Dark,pietra-dark,,SM18,"1,800,000 / m²",Đá,9mm,1200x2400,Matt,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Với thiết kế độc đáo khác biệt hoàn toàn với những sản phẩm đang có mặt trên thị trường, từng tấm đá Pietra Dark với hoạ tiết và bề mặt mô phỏng gần như trọn vẹn những thân gỗ lớn trong các khu rừng, độc đáo hơn với bề mặt màu đen, có chiều sâu đem đến vẻ đẹp sang trọng, làm cho nó trở thành một sự lựa chọn đặc biệt cho bất kỳ không gian tinh tế nào.",https://slabstone.vn/wp-content/uploads/2023/10/SM18D122-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/10/sm18.png,https://slabstone.vn/wp-content/uploads/2023/10/SM18-op_lat__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/10/SM18D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/pietra-dark/
Rosso Statuario,rosso-statuario,,SM39,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Matt,Rose,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Rosso Statuario , một biến thể cao cấp của dòng Statuario Marble, được biết đến với vẻ đẹp tinh tế và sự hùng vĩ tuyệt vời. Nổi bật với kết cấu màu vàng hồng, các hoa văn và đường vân hòa quyện một cách tự nhiên trên nền màu kem, tạo thành một sức hấp dẫn tuyệt vời nhưng vẫn thanh lịch.",https://slabstone.vn/wp-content/uploads/2023/09/SM39D122-F3-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s39.png,https://slabstone.vn/wp-content/uploads/2023/09/SM39D122_phong_ngu__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SM39D122-F2-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/rosso-statuario/
Raw Dark,raw-dark,,SM22,"1,800,000 / m²",Xi măng,9mm,1200x2400,Matt,Xám trắng,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Raw Dark Stone là sự pha trộn hoàn hảo giữa bề mặt đen mịn và đường vân trắng mềm mại, giống như hiệu ứng sương mù. Nó tạo hiệu ứng 3D trong suốt độc đáo, mô phỏng bầu trời đêm và phù hợp với những thiết kế có cá tính mạnh mẽ.",https://slabstone.vn/wp-content/uploads/2023/09/SM22D122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s22.png,https://slabstone.vn/wp-content/uploads/2023/09/SM22D122-Phong-Tam.png,https://slabstone.vn/wp-content/uploads/2024/02/SM22D122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/raw-dark/
Ash Ebony,ash-ebony,,SM23,"1,800,000 / m²",Gỗ,9mm,1200x2400,Matt,Xám,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Với khổ lớn vượt trội, đá vân gỗ SLABSTONE đem nét đẹp thiên nhiên chân thực nhất vào không gian sống của bạn.
Không giới hạn khả năng thiết kế, mẫu đá vân gỗ SLABSTONE cho bạn thoả sức sáng tạo với những ý tưởng cắt ghép, tạo hình khác nhau. Những đường vân gỗ trải dài, không bị gián đoạn sẽ mở rộng không gian, tôn lên nét tinh tế và sang trọng rất riêng cho ngôi nhà.",https://slabstone.vn/wp-content/uploads/2023/09/SM23D122-Random-Face__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s23.png,https://slabstone.vn/wp-content/uploads/2023/09/SM23_op_tuong__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/ash-ebony/
Marquina,marquina,,SM20,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Matt,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Hồ Maracaibo ở Venezuela được mệnh danh là “thiên đường của những vũ điệu sấm sét” với xấp xỉ 3 triệu cú sét mỗi năm, lấy cảm hứng từ những vũ điệu đó, chúng tôi đã truyền tải sức mạnh của những tia sét rực sáng tràn đầy năng lượng vào sản phẩm. Những đường vân rạn như tia sét màu trắng hoàn toàn nổi bật trên nền đen huyền bí.",https://slabstone.vn/wp-content/uploads/2023/09/SM20D122-Random-face-copy-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/S20.png,https://slabstone.vn/wp-content/uploads/2023/09/SM20D122-v1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SM20D122-Random-face__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/marquina/
Calatorao Cafe,calatorao-cafe,,SN55,"2,820,000 / m²",Đá hoa,15mm,1200x2400,Matt,,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/07/SN55H86_Body-tech-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/TN55.png,,,,,,https://slabstone.vn/san-pham/calatorao-cafe/
Thunder,thunder,,SP08,"1,800,000 – 2,500,000 / m²",Đá,"9mm, 15mm",1200x2400,Bóng kính,"Màu Be, Trắng",,,,Thiết kế marble ấn tượng với những đường oxy hoá màu vàng thể hiện chân thực nhất vẻ đẹp của đá tự nhiên,https://slabstone.vn/wp-content/uploads/2024/01/Slabstone_Thunder-SP08D122-v2_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_thunder-1.png,https://slabstone.vn/wp-content/uploads/2023/02/SP08D122-Cau-Thang-scaled.jpg,,,,,https://slabstone.vn/san-pham/thunder/
Summer Fog,summer-fog,,SP10 | SM10,"1,220,000 – 2,500,000 / m²",Đá hoa,"9mm, 15mm, 20mm","800x1600, 800x2400, 1200x2400, 1600x2400","Bóng kính, Bóng mờ",Trắng,,,,Mẫu Marble trắng nhẹ nhàng với những đường vân mờ ảo như lớp sương mùa hè,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_SummerFog-SP10D122-v2_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_summerfog.png,https://slabstone.vn/wp-content/uploads/2023/02/SP10D122-op__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/summer-fog/
Serpentine,serpentine,,SP27,"1,800,000 – 2,500,000 / m²",Đá hoa,"9mm, 15mm",1200x2400,Bóng kính,Xanh Lá,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Sự tươi mới và độc đáo của sắc xanh đã tạo nên điểm nhấn khác biệt cho thiết kế.
Serpentine gợi cảm giác phóng khoáng nhưng tinh tế, nổi bật nhưng không quá phô trương. Tất cả hài hoà và vừa vặn để ứng dụng được ở mọi không gian.",https://slabstone.vn/wp-content/uploads/2023/09/SP27H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/sp27.png,https://slabstone.vn/wp-content/uploads/2023/09/Sp27_phoi_canh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP27H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/serpentine/
Patagonia,patagonia,,SP36,"1,800,000 – 2,500,000 / m²",Đá hoa,"9mm, 15mm",1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Lấy cảm hứng từ những viên đá tự nhiên, Patagoinia mang đến cho không gian sống của bạn vẻ đẹp chân thực và sống động nhất.",https://slabstone.vn/wp-content/uploads/2023/09/SP36D122-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/sp36.png,https://slabstone.vn/wp-content/uploads/2024/01/SP36D122-lat_san__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/01/SP36D122-F3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/patagonia/
Feathers,feathers,,"SP42, SM42","1,800,000 – 2,500,000 / m²",Đá hoa,"9mm, 15mm",1200x2400,"Bóng kính, Matt",Xanh Dương,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/09/SP42H122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/sp42.png,,,,,,https://slabstone.vn/san-pham/feathers/
Desert,desert,,SP50,"1,970,000 – 2,820,000 / m²",BODYTECH,"9mm, 15mm",1200x2400,"Bóng kính, Bóng mờ",Màu Be,,,,,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Fullbody-SP50D122_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/03/150323_desert.png,,,,,,https://slabstone.vn/san-pham/desert/
Helix Nero,helix-nero,,SP53,"1,100,000 – 2,820,000 / m²",BODYTECH,"9mm, 12mm, 15mm","800x1600, 1200x2400",Bóng kính,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Tone màu đen huyền bí dẫn dụ sự tìm tòi, khám phá và mở rộng chiều sâu không gian. Sang trọng, thời thượng, cá tính là những gì Helix Nero thể hiện trong từng thiết kế.",https://slabstone.vn/wp-content/uploads/2023/07/SP53F-H86_Body-tech__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SP53.png,,,,,,https://slabstone.vn/san-pham/helix-nero/